"STATISTIC","Statistic Label","TLIST(M1)","Year","C02342V02816","Dwelling Type","UNIT","VALUE"
"NDM01C01","Monthly New Dwelling Completions","201101","2011 January","-","All house types","Number","506"
"NDM01C01","Monthly New Dwelling Completions","201101","2011 January","06","Single house","Number","332"
"NDM01C01","Monthly New Dwelling Completions","201101","2011 January","07","Scheme house","Number","128"
"NDM01C01","Monthly New Dwelling Completions","201101","2011 January","08","Apartment","Number","46"
"NDM01C01","Monthly New Dwelling Completions","201102","2011 February","-","All house types","Number","637"
"NDM01C01","Monthly New Dwelling Completions","201102","2011 February","06","Single house","Number","399"
"NDM01C01","Monthly New Dwelling Completions","201102","2011 February","07","Scheme house","Number","157"
"NDM01C01","Monthly New Dwelling Completions","201102","2011 February","08","Apartment","Number","81"
"NDM01C01","Monthly New Dwelling Completions","201103","2011 March","-","All house types","Number","732"
"NDM01C01","Monthly New Dwelling Completions","201103","2011 March","06","Single house","Number","425"
"NDM01C01","Monthly New Dwelling Completions","201103","2011 March","07","Scheme house","Number","162"
"NDM01C01","Monthly New Dwelling Completions","201103","2011 March","08","Apartment","Number","145"
"NDM01C01","Monthly New Dwelling Completions","201104","2011 April","-","All house types","Number","628"
"NDM01C01","Monthly New Dwelling Completions","201104","2011 April","06","Single house","Number","370"
"NDM01C01","Monthly New Dwelling Completions","201104","2011 April","07","Scheme house","Number","178"
"NDM01C01","Monthly New Dwelling Completions","201104","2011 April","08","Apartment","Number","80"
"NDM01C01","Monthly New Dwelling Completions","201105","2011 May","-","All house types","Number","540"
"NDM01C01","Monthly New Dwelling Completions","201105","2011 May","06","Single house","Number","384"
"NDM01C01","Monthly New Dwelling Completions","201105","2011 May","07","Scheme house","Number","73"
"NDM01C01","Monthly New Dwelling Completions","201105","2011 May","08","Apartment","Number","83"
"NDM01C01","Monthly New Dwelling Completions","201106","2011 June","-","All house types","Number","623"
"NDM01C01","Monthly New Dwelling Completions","201106","2011 June","06","Single house","Number","440"
"NDM01C01","Monthly New Dwelling Completions","201106","2011 June","07","Scheme house","Number","129"
"NDM01C01","Monthly New Dwelling Completions","201106","2011 June","08","Apartment","Number","54"
"NDM01C01","Monthly New Dwelling Completions","201107","2011 July","-","All house types","Number","557"
"NDM01C01","Monthly New Dwelling Completions","201107","2011 July","06","Single house","Number","396"
"NDM01C01","Monthly New Dwelling Completions","201107","2011 July","07","Scheme house","Number","135"
"NDM01C01","Monthly New Dwelling Completions","201107","2011 July","08","Apartment","Number","26"
"NDM01C01","Monthly New Dwelling Completions","201108","2011 August","-","All house types","Number","513"
"NDM01C01","Monthly New Dwelling Completions","201108","2011 August","06","Single house","Number","390"
"NDM01C01","Monthly New Dwelling Completions","201108","2011 August","07","Scheme house","Number","73"
"NDM01C01","Monthly New Dwelling Completions","201108","2011 August","08","Apartment","Number","50"
"NDM01C01","Monthly New Dwelling Completions","201109","2011 September","-","All house types","Number","617"
"NDM01C01","Monthly New Dwelling Completions","201109","2011 September","06","Single house","Number","411"
"NDM01C01","Monthly New Dwelling Completions","201109","2011 September","07","Scheme house","Number","97"
"NDM01C01","Monthly New Dwelling Completions","201109","2011 September","08","Apartment","Number","109"
"NDM01C01","Monthly New Dwelling Completions","201110","2011 October","-","All house types","Number","483"
"NDM01C01","Monthly New Dwelling Completions","201110","2011 October","06","Single house","Number","388"
"NDM01C01","Monthly New Dwelling Completions","201110","2011 October","07","Scheme house","Number","55"
"NDM01C01","Monthly New Dwelling Completions","201110","2011 October","08","Apartment","Number","40"
"NDM01C01","Monthly New Dwelling Completions","201111","2011 November","-","All house types","Number","616"
"NDM01C01","Monthly New Dwelling Completions","201111","2011 November","06","Single house","Number","468"
"NDM01C01","Monthly New Dwelling Completions","201111","2011 November","07","Scheme house","Number","103"
"NDM01C01","Monthly New Dwelling Completions","201111","2011 November","08","Apartment","Number","45"
"NDM01C01","Monthly New Dwelling Completions","201112","2011 December","-","All house types","Number","542"
"NDM01C01","Monthly New Dwelling Completions","201112","2011 December","06","Single house","Number","411"
"NDM01C01","Monthly New Dwelling Completions","201112","2011 December","07","Scheme house","Number","68"
"NDM01C01","Monthly New Dwelling Completions","201112","2011 December","08","Apartment","Number","63"
"NDM01C01","Monthly New Dwelling Completions","201201","2012 January","-","All house types","Number","352"
"NDM01C01","Monthly New Dwelling Completions","201201","2012 January","06","Single house","Number","230"
"NDM01C01","Monthly New Dwelling Completions","201201","2012 January","07","Scheme house","Number","63"
"NDM01C01","Monthly New Dwelling Completions","201201","2012 January","08","Apartment","Number","59"
"NDM01C01","Monthly New Dwelling Completions","201202","2012 February","-","All house types","Number","388"
"NDM01C01","Monthly New Dwelling Completions","201202","2012 February","06","Single house","Number","280"
"NDM01C01","Monthly New Dwelling Completions","201202","2012 February","07","Scheme house","Number","76"
"NDM01C01","Monthly New Dwelling Completions","201202","2012 February","08","Apartment","Number","32"
"NDM01C01","Monthly New Dwelling Completions","201203","2012 March","-","All house types","Number","391"
"NDM01C01","Monthly New Dwelling Completions","201203","2012 March","06","Single house","Number","287"
"NDM01C01","Monthly New Dwelling Completions","201203","2012 March","07","Scheme house","Number","72"
"NDM01C01","Monthly New Dwelling Completions","201203","2012 March","08","Apartment","Number","32"
"NDM01C01","Monthly New Dwelling Completions","201204","2012 April","-","All house types","Number","347"
"NDM01C01","Monthly New Dwelling Completions","201204","2012 April","06","Single house","Number","276"
"NDM01C01","Monthly New Dwelling Completions","201204","2012 April","07","Scheme house","Number","55"
"NDM01C01","Monthly New Dwelling Completions","201204","2012 April","08","Apartment","Number","16"
