TID;INDHOLD
2021M10;5867412
2021M11;5870785
2021M12;5873623
2022M01;5873420
2022M02;5875393
2022M03;5880087
2022M04;5883562
2022M05;5892871
2022M06;5904245
2022M07;5910577
2022M08;5913538
2022M09;5920527
2022M10;5928364
2022M11;5931586
2022M12;5934002
2023M01;5932654
2023M02;5935619
2023M03;5938745
2023M04;5941388
2023M05;5942520
2023M06;5942711
2023M07;5944145
2023M08;5945278
2023M09;5952575
2023M10;5959464
2023M11;5962302
2023M12;5964059
2024M01;5961249
2024M02;5962689
2024M03;5965990
2024M04;5967824
2024M05;5969774
2024M06;5971110
2024M07;5972420
2024M08;5974086
2024M09;5982117
2024M10;5989985
2024M11;5993317
2024M12;5995628
2025M01;5992734
2025M02;5995464
2025M03;5998205
2025M04;5999677
2025M05;6001008
2025M06;6001469
2025M07;6002420
2025M08;6004342
2025M09;6011488
2025M10;6019866
2025M11;6024684
2025M12;6027601
2026M01;6025603
2026M02;6028459
2026M03;6029607
2026M04;6031247
2026M05;6032963
2026M06;6031992
