"Periods","Population at start of selected period (aantal)","Live births (aantal)","Deaths (aantal)","Immigration (aantal)","Emigration including administrative c... (aantal)","Net corrections (aantal)","Total population growth (aantal)","Population at end of selected period (aantal)"
"2025 January*","18,044,027","13,690","17,283","27,642","17,725","","6,324","18,050,351"
"2025 February*","18,050,351","12,148","15,932","28,099","15,726","","8,589","18,058,940"
"2025 March*","18,058,940","13,289","15,749","23,343","15,079","","5,804","18,064,744"
"2025 April*","18,064,744","13,434","13,818","21,950","14,391","","7,175","18,071,919"
"2025 May*","18,071,919","14,331","13,771","19,786","14,603","","5,743","18,077,662"
"2025 June*","18,077,662","14,021","13,006","20,342","18,076","","3,281","18,080,943"
"2025 July*","18,080,943","14,964","13,261","24,937","24,573","","2,067","18,083,010"
"2025 August*","18,083,010","15,082","13,240","37,564","21,980","","17,426","18,100,436"
"2025 September*","18,100,436","14,521","13,110","39,018","19,315","","21,114","18,121,550"
"2025 October*","18,121,550","14,284","14,710","26,003","16,465","","9,112","18,130,662"
"2025 November*","18,130,662","12,853","14,259","19,843","15,068","","3,369","18,134,031"
"2025 December*","18,134,031","13,246","15,199","18,022","18,862","0","-2,793","18,131,238"
"2025*","18,044,027","165,863","173,338","306,549","211,863","0","87,211","18,131,238"
"2026 January*","18,131,238","13,945","17,399","21,372","17,892","","26","18,131,264"
"2026 February*","18,131,264","12,639","15,797","23,859","14,700","","6,001","18,137,265"
"2026 March*","18,137,265","13,496","15,106","21,036","15,838","","3,588","18,140,853"
"2026 April*","18,140,853","13,458","13,782","20,322","13,578","","6,420","18,147,273"
"2026 May*","18,147,273","14,216","14,128","18,062","14,017","","4,133","18,151,406"
"Source: CBS."
